"Time","chatgpt"
"2026-01-04",71
"2026-01-11",66
"2026-01-18",74
"2026-01-25",69
"2026-02-01",71
"2026-02-08",67
"2026-02-15",73
"2026-02-22",77
"2026-03-01",73
"2026-03-08",78
"2026-03-15",70
"2026-03-22",73
"2026-03-29",67
"2026-04-05",73
"2026-04-12",72
"2026-04-19",72
"2026-04-26",79
"2026-05-03",74
"2026-05-10",75
"2026-05-17",75
"2026-05-24",74
"2026-05-31",78
"2026-06-07",78
"2026-06-14",76
"2026-06-21",76
"2026-06-28",77
"2026-07-05",76
"2026-07-12",82
"2026-07-19",81
"2026-07-26",81
"2026-08-02",79
"2026-08-09",83
"2026-08-16",87
"2026-08-23",79
"2026-08-30",89
"2026-09-06",100
"2026-09-13",65
"2026-09-20",66
