"Time","chatgpt","google gemini","claude","python","data science"
"2026-01-04",71,10,2,7,1
"2026-01-11",66,9,2,6,1
"2026-01-18",74,9,2,7,1
"2026-01-25",70,8,2,7,1
"2026-02-01",72,8,3,7,1
"2026-02-08",67,7,4,8,1
"2026-02-15",73,8,4,7,1
"2026-02-22",78,8,6,7,1
"2026-03-01",73,10,8,6,1
"2026-03-08",79,8,9,6,1
"2026-03-15",70,8,10,6,1
"2026-03-22",73,8,12,6,1
"2026-03-29",68,7,11,6,1
"2026-04-05",73,7,12,6,1
"2026-04-12",73,7,12,5,1
"2026-04-19",73,7,13,6,1
"2026-04-26",79,9,13,5,1
"2026-05-03",75,9,12,5,1
"2026-05-10",75,9,12,5,1
"2026-05-17",75,9,12,5,1
"2026-05-24",74,9,12,5,1
"2026-05-31",78,8,13,6,1
"2026-06-07",78,8,14,5,1
"2026-06-14",77,8,13,6,1
"2026-06-21",76,8,13,6,1
"2026-06-28",77,7,13,6,1
"2026-07-05",76,7,13,6,1
"2026-07-12",83,7,13,6,1
"2026-07-19",82,6,13,7,1
"2026-07-26",81,7,14,7,1
"2026-08-02",80,6,13,7,1
"2026-08-09",83,7,13,6,1
"2026-08-16",88,7,13,6,1
"2026-08-23",79,7,12,5,1
"2026-08-30",89,8,13,6,1
"2026-09-06",100,9,12,6,1
"2026-09-13",68,6,9,5,1
"2026-09-20",66,6,10,6,1
