"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"south africa vs australia","500K+","September 24, 2026 at 12:30:00 PM UTC+5:30",,"south africa vs australia,sa vs aus,aus vs sa,matthew breetzke,marco jansen,temba bavuma,mitchell starc,mitchell marsh,bjorn fortuin,cameron green,josh hazlewood,cooper connolly","./explore?q=south%20africa%20vs%20australia&geo=IN"
"afghanistan vs japan","500K+","September 24, 2026 at 4:40:00 AM UTC+5:30",,"afghanistan vs japan,darwish rasooli,afg vs japan","./explore?q=afghanistan%20vs%20japan&geo=IN"
"weather tomorrow","500K+","September 24, 2026 at 9:00:00 PM UTC+5:30","September 24, 2026 at 10:30:00 PM UTC+5:30","weather tomorrow","./explore?q=weather%20tomorrow&geo=IN"
"कल का मौसम","200K+","September 24, 2026 at 8:50:00 PM UTC+5:30","September 24, 2026 at 10:30:00 PM UTC+5:30","कल का मौसम,mausam,बारिश","./explore?q=%E0%A4%95%E0%A4%B2%20%E0%A4%95%E0%A4%BE%20%E0%A4%AE%E0%A5%8C%E0%A4%B8%E0%A4%AE&geo=IN"
"sri lanka vs england","200K+","September 24, 2026 at 5:10:00 PM UTC+5:30","September 24, 2026 at 9:40:00 PM UTC+5:30","sri lanka vs england","./explore?q=sri%20lanka%20vs%20england&geo=IN"
"kusal mendis","100K+","September 24, 2026 at 5:50:00 PM UTC+5:30",,"kusal mendis,kamindu mendis,tom banton,sri lanka national cricket team vs england cricket team match scorecard,श्रीलंका बनाम इंगलैंड,sl vs eng,rehan ahmed,pathum nissanka,eng vs sl","./explore?q=kusal%20mendis&geo=IN"
"nse share price","100K+","September 24, 2026 at 9:10:00 AM UTC+5:30",,"nse share price,nse stock,nse stock ipo,nse,nse listing,bse,nse stock gmp,nse ipo,nse listing price,nse share price today,nse share,nse stock price,nse share price today live,nse ipo price,nse ipo listing,nse price,nse ipo listing time,nse ipo listing price,bse share price","./explore?q=nse%20share%20price&geo=IN"
"neet pg result 2026","50K+","September 24, 2026 at 12:50:00 PM UTC+5:30",,"neet pg result 2026,nbems,neet pg,neet pg 2026,neet pg result,neet pg 2026 result,natboard edu in,nbems neet pg,neet pg results,neet pg 2026 results,nbe,neetpg results","./explore?q=neet%20pg%20result%202026&geo=IN"
"south africa national cricket team vs australia national cricket team match scorecard","50K+","September 24, 2026 at 1:10:00 PM UTC+5:30","September 24, 2026 at 10:30:00 PM UTC+5:30","south africa national cricket team vs australia national cricket team match scorecard","./explore?q=south%20africa%20national%20cricket%20team%20vs%20australia%20national%20cricket%20team%20match%20scorecard&geo=IN"
"lottery sambad","50K+","September 24, 2026 at 1:50:00 PM UTC+5:30","September 24, 2026 at 9:20:00 PM UTC+5:30","lottery sambad,dear lottery,nagaland state lottery,dear lottery sambad,lottery sambad today,lottery sangbad,lottery sambad lottery sambad,dear lottery result,lottery sambad result","./explore?q=lottery%20sambad&geo=IN"
"weather today","50K+","September 24, 2026 at 5:40:00 AM UTC+5:30","September 24, 2026 at 9:30:00 AM UTC+5:30","weather today,today weather,cyclone","./explore?q=weather%20today&geo=IN"
"२४ सितम्बर","20K+","September 24, 2026 at 8:50:00 AM UTC+5:30",,"२४ सितम्बर","./explore?q=%E0%A5%A8%E0%A5%AA%20%E0%A4%B8%E0%A4%BF%E0%A4%A4%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A4%B0&geo=IN"
"west indies vs zimbabwe","20K+","September 24, 2026 at 12:50:00 PM UTC+5:30",,"west indies vs zimbabwe,hayley matthews,zimbabwe vs west indies","./explore?q=west%20indies%20vs%20zimbabwe&geo=IN"
"jack edwards","20K+","September 24, 2026 at 1:10:00 PM UTC+5:30",,"jack edwards","./explore?q=jack%20edwards&geo=IN"
"wasim akram","20K+","September 24, 2026 at 5:20:00 AM UTC+5:30","September 24, 2026 at 10:40:00 PM UTC+5:30","wasim akram","./explore?q=wasim%20akram&geo=IN"
"hong kong vs malaysia","20K+","September 24, 2026 at 10:10:00 AM UTC+5:30","September 24, 2026 at 5:00:00 PM UTC+5:30","hong kong vs malaysia","./explore?q=hong%20kong%20vs%20malaysia&geo=IN"
"arab gul","20K+","September 24, 2026 at 5:40:00 AM UTC+5:30","September 24, 2026 at 8:50:00 PM UTC+5:30","arab gul","./explore?q=arab%20gul&geo=IN"
"अफ़ग़ानिस्तान बनाम जापान","20K+","September 24, 2026 at 5:20:00 AM UTC+5:30","September 24, 2026 at 11:20:00 AM UTC+5:30","अफ़ग़ानिस्तान बनाम जापान,hassan eisakhil","./explore?q=%E0%A4%85%E0%A4%AB%E0%A4%BC%E0%A4%97%E0%A4%BC%E0%A4%BE%E0%A4%A8%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8%20%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE%20%E0%A4%9C%E0%A4%BE%E0%A4%AA%E0%A4%BE%E0%A4%A8&geo=IN"
